plan,action,reason,slug,kind,clicks,impressions
conservative,delete,unindexed_template,asahikawa_winter_roast_en,ramen,0,0
conservative,delete,suspect_name,shibuya_morning_club_en,ramen,0,1
conservative,delete,suspect_name,ginza_patisserie_bloom_ko,ramen,0,0
conservative,delete,suspect_name,marunouchi_blend_lab_ko,ramen,0,0
conservative,delete,suspect_name,otaru_canal_coffee_ko,ramen,0,0
conservative,delete,suspect_name,kobe_harborland_cafe_ko,ramen,0,0
conservative,delete,suspect_name,miyazaki_phoenix_cafe_en,ramen,0,0
conservative,delete,suspect_name,nagoya_sakae_espresso_en,ramen,0,2
conservative,delete,unindexed_template,menya_7.5hz_umeda_en,ramen,0,0
conservative,delete,suspect_name,yokohama_minato_mirai_cafe_ko,ramen,0,0
conservative,delete,suspect_name,kanazawa_higashi_chaya_cafe_en,ramen,0,4
conservative,delete,suspect_name,sendai_ichibancho_latte_en,ramen,0,5
conservative,delete,suspect_name,nara_parkside_kissaten_ko,ramen,0,0
conservative,delete,suspect_name,naha_kokusai_street_coffee_ko,ramen,0,0
conservative,delete,suspect_name,takamatsu_ritsurin_garden_cafe_ko,ramen,0,0
conservative,delete,suspect_name,okayama_korakuen_cafe_ko,ramen,0,0
conservative,delete,suspect_name,hiroshima_peace_park_cafe_en,ramen,0,1
conservative,delete,suspect_name,matsuyama_dogo_onsen_cafe_en,ramen,0,0
conservative,delete,unindexed_template,ramen_shingen_minami_6-jo_en,ramen,0,0
conservative,delete,suspect_name,ebisu_workbench_cafe_en,ramen,0,1
conservative,delete,suspect_name,matsumoto_castle_cafe_ko,ramen,0,0
conservative,delete,unindexed_template,afuri_harajuku_en,ramen,0,0
conservative,delete,unindexed_template,chuka_soba_ginza_hachigou_en,ramen,0,0
conservative,delete,suspect_name,hakodate_morning_market_cafe_en,ramen,0,0
conservative,delete,suspect_name,shinjuku_south_latte_lab_ko,ramen,0,0
conservative,delete,suspect_name,kumamoto_castle_town_cafe_en,ramen,0,0
conservative,delete,suspect_name,shizuoka_station_espresso_ko,ramen,0,0
conservative,delete,unindexed_template,ueno_parkside_drip_en,ramen,0,0
conservative,delete,suspect_name,matsumoto_castle_cafe_en,ramen,0,0
conservative,delete,suspect_name,ebisu_workbench_cafe_ko,ramen,0,0
conservative,delete,suspect_name,matsuyama_dogo_onsen_cafe_ko,ramen,0,0
conservative,delete,suspect_name,hiroshima_peace_park_cafe_ko,ramen,0,0
conservative,delete,suspect_name,okayama_korakuen_cafe_en,ramen,0,0
conservative,delete,unindexed_template,ramen_junk_story_tanimachi_en,ramen,0,0
conservative,delete,unindexed_template,ramen_setagaya_en,ramen,0,0
