날짜,클릭수,노출,CTR,게재 순위
2026-04-08,0,2,0%,5.5
2026-04-09,0,2,0%,4.5
2026-04-10,1,10,10%,4.9
2026-04-11,0,6,0%,4.7
2026-04-12,0,3,0%,4.7
2026-04-13,0,7,0%,5.3
2026-04-14,0,16,0%,4.7
2026-04-15,0,4,0%,4.5
2026-04-16,0,5,0%,6.6
2026-04-17,0,1,0%,6
2026-04-18,1,4,25%,17.8
2026-04-19,0,10,0%,6.3
2026-04-20,0,5,0%,5.6
2026-04-21,0,5,0%,22.4
2026-04-22,0,6,0%,2.3
2026-04-23,0,8,0%,6.5
2026-04-24,0,3,0%,5.7
2026-04-25,0,2,0%,12
2026-04-26,0,4,0%,24.5
2026-04-27,0,23,0%,11.7
2026-04-28,0,42,0%,11.2
2026-04-29,0,110,0%,9.3
2026-04-30,0,84,0%,9.8
2026-05-01,0,88,0%,11.3
2026-05-02,0,96,0%,13.8
2026-05-03,0,97,0%,16.3
2026-05-04,0,81,0%,13.1
2026-05-05,0,108,0%,12.7
2026-05-06,0,103,0%,13.7
2026-05-07,1,96,1.04%,15.2
2026-05-08,0,138,0%,10.3
2026-05-09,0,180,0%,11
2026-05-10,2,268,0.75%,10
2026-05-11,2,329,0.61%,13
2026-05-12,1,326,0.31%,13.7
2026-05-13,3,392,0.77%,17.8
2026-05-14,1,464,0.22%,15.5
2026-05-15,6,399,1.5%,14.8
2026-05-16,3,458,0.66%,17.3
2026-05-17,5,496,1.01%,14.2
2026-05-18,1,386,0.26%,14.3
2026-05-19,3,410,0.73%,17.5
2026-05-20,6,393,1.53%,18.7
2026-05-21,3,385,0.78%,17.4
2026-05-22,0,402,0%,17.1
2026-05-23,3,432,0.69%,16.1
2026-05-24,6,460,1.3%,14.9
2026-05-25,5,434,1.15%,14.1
2026-05-26,2,379,0.53%,12.1
2026-05-27,3,465,0.65%,15.8
2026-05-28,3,422,0.71%,15.6
2026-05-29,1,448,0.22%,11.4
2026-05-30,5,579,0.86%,12
2026-05-31,5,656,0.76%,11
2026-06-01,7,697,1%,12.3
2026-06-02,6,508,1.18%,12
2026-06-03,5,616,0.81%,11.4
2026-06-04,4,1676,0.24%,8.8
2026-06-05,1,1551,0.06%,8.7
2026-06-06,1,863,0.12%,9.4
2026-06-07,2,1390,0.14%,9.1
2026-06-08,5,1147,0.44%,9.8
2026-06-09,2,523,0.38%,11.2
2026-06-10,2,483,0.41%,11.4
2026-06-11,2,504,0.4%,12.4
2026-06-12,1,529,0.19%,13
2026-06-13,5,494,1.01%,10.9
2026-06-14,4,599,0.67%,11.6
2026-06-15,6,626,0.96%,12.6
2026-06-16,5,641,0.78%,12.9
2026-06-17,5,707,0.71%,11.5
2026-06-18,8,587,1.36%,11
2026-06-19,2,569,0.35%,10.4
2026-06-20,2,646,0.31%,11.4
2026-06-21,1,613,0.16%,10.8
2026-06-22,3,547,0.55%,11.2
2026-06-23,3,518,0.58%,12.4
2026-06-24,2,344,0.58%,10
2026-06-25,4,405,0.99%,13.8
2026-06-26,6,410,1.46%,12.8
2026-06-27,1,410,0.24%,16
2026-06-28,2,340,0.59%,13
2026-06-29,4,370,1.08%,12.9
2026-06-30,1,618,0.16%,15.2
2026-07-01,1,335,0.3%,13.2
2026-07-02,2,391,0.51%,14
2026-07-03,4,379,1.06%,13.3
2026-07-04,1,393,0.25%,13.2
2026-07-05,4,457,0.88%,13.1
2026-07-06,4,494,0.81%,14.5
2026-07-07,1,484,0.21%,12.8
