인기 페이지,클릭수,노출,CTR,게재 순위
https://okramen.net/guide/ramen_ranking_sites_ko,23,180,12.78%,4.54
https://okramen.net/guide/top_5_convenience_store_ramen_en,20,320,6.25%,6.65
https://okramen.net/guide/ramen_prices_ko,6,285,2.11%,6.86
https://okramen.net/ramen/honke_daiichi-asahi_en,5,1106,0.45%,17.7
https://okramen.net/,4,1072,0.37%,9.16
https://okramen.net/ramen/ramen_yashichi_en,4,493,0.81%,9.28
https://okramen.net/ramen/mennoya_en,4,300,1.33%,7.28
https://okramen.net/ramen/tsujita_tokyo_en,4,278,1.44%,10.06
https://okramen.net/guide/top_5_convenience_store_ramen_ko,4,48,8.33%,6.75
https://okramen.net/guide/chashu_styles_en,3,394,0.76%,10.58
https://okramen.net/ramen/kurume_taiho_ramen_en,3,169,1.78%,10.29
https://okramen.net/ramen/tsuta_ko,3,141,2.13%,7.72
https://okramen.net/guide/late_night_culture_ko,3,55,5.45%,7.42
https://okramen.net/guide/ramen_noodle_science_ko,3,53,5.66%,6.28
https://okramen.net/ramen/ramen_sen-no-kaze_en,2,1008,0.2%,10.34
https://okramen.net/guide/ramen_types_101_ko,2,369,0.54%,12.26
https://okramen.net/guide/essential_toppings_ko,2,328,0.61%,7.21
https://okramen.net/ramen/bankara_ramen_en,2,249,0.8%,11.02
https://okramen.net/ramen/asahikawa_ramen_aoba_en,2,213,0.94%,9.73
https://okramen.net/guide/miso_deep_dive_ko,2,186,1.08%,8.15
https://okramen.net/guide/mazesoba_trend_en,2,184,1.09%,21.49
https://okramen.net/ramen/hanamaruken_en,2,162,1.23%,13.46
https://okramen.net/guide/ramen_spoons_and_utensils_en,2,143,1.4%,7.3
https://okramen.net/ramen/menya_saimi_ko,2,107,1.87%,9.89
https://okramen.net/guide/ramen_etiquette_ko,2,95,2.11%,5.99
https://okramen.net/guide/how_to_order_ko,2,64,3.12%,6.91
https://okramen.net/guide/cold_ramen_summer_en,2,54,3.7%,8.98
https://okramen.net/ramen/konjiki_hototogisu_ko,2,49,4.08%,6.2
https://okramen.net/guide/ramen_chef_training_en,2,44,4.55%,8.55
https://okramen.net/guide/tokyo_ramen_street_ko,2,34,5.88%,8.26
https://okramen.net/ramen/nakiryu_ko,2,32,6.25%,7.75
https://okramen.net/ramen/ide_shoten_ko,2,30,6.67%,7.13
https://okramen.net/guide/ramen_noodle_disposal_manners_ko,2,24,8.33%,9.12
https://okramen.net/ramen/asahikawa_ramen_aoba_ko,2,16,12.5%,10.12
https://okramen.net/guide/sapporo_miso_legend_ko,2,11,18.18%,6.91
https://okramen.net/ramen/soranoiro_tokyo_en,1,3017,0.03%,7.26
https://okramen.net/guide/ramen_prices_en,1,1072,0.09%,8.54
https://okramen.net/ramen/jinrui_mina_menrui_en,1,767,0.13%,15.96
https://okramen.net/ramen/ramen_shingen_en,1,695,0.14%,18.65
https://okramen.net/ramen/ramen_takahashi_en,1,682,0.15%,29.64
https://okramen.net/guide/ramen_after_drinking_en,1,649,0.15%,8.33
https://okramen.net/ramen/aji_no_sanpei_en,1,604,0.17%,8.98
https://okramen.net/ramen/fuunji_shinjuku_en,1,556,0.18%,15.99
https://okramen.net/ramen/ichiraku_ramen_en,1,499,0.2%,16.98
https://okramen.net/ramen/ebisoba_ichigen_en,1,453,0.22%,8.73
https://okramen.net/ramen/menya_musashi_shinjuku_en,1,402,0.25%,13.81
https://okramen.net/ramen/menya_itto_en,1,339,0.29%,12.48
https://okramen.net/ramen/kadoya_shokudo_en,1,331,0.3%,9.91
https://okramen.net/guide/ramen_noodle_disposal_manners_en,1,324,0.31%,7.3
https://okramen.net/guide/ramen_souvenir_en,1,324,0.31%,11.37
https://okramen.net/ramen/kyushu_jangara_akihabara_en,1,264,0.38%,22.89
https://okramen.net/ramen/kitakata_ramen_bannai_en,1,251,0.4%,21.12
https://okramen.net/ramen/ginza_kagari_en,1,241,0.41%,27.07
https://okramen.net/ramen/zundoya_osaka_en,1,229,0.44%,8.93
