국가,클릭수,노출,CTR,게재 순위
한국,82,4490,1.83%,8.25
일본,43,4379,0.98%,12.12
미국,20,13396,0.15%,12.9
싱가포르,10,968,1.03%,13.42
필리핀,6,583,1.03%,11.8
호주,5,819,0.61%,16.7
캐나다,3,1957,0.15%,11
스페인,3,186,1.61%,11.72
말레이시아,2,415,0.48%,10.59
홍콩,2,245,0.82%,16.64
스웨덴,2,101,1.98%,10.47
인도,1,791,0.13%,9.76
영국,1,663,0.15%,19.65
독일,1,342,0.29%,13.76
네덜란드,1,288,0.35%,11.09
태국,1,220,0.45%,12.34
프랑스,1,202,0.5%,10.13
멕시코,1,116,0.86%,13.59
스위스,1,66,1.52%,9.56
방글라데시,1,63,1.59%,20.63
아랍에미리트 연합,1,48,2.08%,10.6
노르웨이,1,47,2.13%,11.64
오스트리아,1,36,2.78%,11.5
체코,1,19,5.26%,10
인도네시아,0,333,0%,10.75
베트남,0,300,0%,16.83
브라질,0,244,0%,14.75
대만,0,211,0%,19.99
이탈리아,0,161,0%,15.45
뉴질랜드,0,104,0%,14.91
아르헨티나,0,91,0%,16
폴란드,0,81,0%,12.04
파키스탄,0,78,0%,16.33
이스라엘,0,76,0%,12.96
중국,0,75,0%,9.61
터키,0,74,0%,16.3
모로코,0,51,0%,15.86
벨기에,0,50,0%,8.96
덴마크,0,50,0%,10.08
러시아,0,50,0%,17.98
콜롬비아,0,47,0%,19.04
이라크,0,47,0%,19.96
칠레,0,46,0%,19.61
포르투갈,0,41,0%,9.24
베네주엘라,0,40,0%,18.2
사우디 아라비아,0,35,0%,17.11
핀란드,0,33,0%,7.09
아일랜드,0,32,0%,9.66
그리스,0,30,0%,9.8
헝가리,0,30,0%,12.77
우크라이나,0,27,0%,13.78
이집트,0,25,0%,12.56
루마니아,0,24,0%,11.88
네팔,0,24,0%,14.58
도미니카 공화국,0,23,0%,9.52
남아프리카,0,22,0%,14.64
알제리,0,21,0%,21.24
페루,0,19,0%,20.32
요르단,0,19,0%,20.63
불가리아,0,18,0%,9.5
나이지리아,0,18,0%,16.56
케냐,0,17,0%,20.18
볼리비아,0,16,0%,29.12
카자흐스탄,0,15,0%,25.2
캄보디아,0,14,0%,10.79
에콰도르,0,14,0%,16.5
우루과이,0,14,0%,19.79
카타르,0,13,0%,10.69
세르비아,0,13,0%,11
몽골,0,13,0%,11.08
브루나이,0,13,0%,11.92
튀니지,0,13,0%,16.69
쿠바,0,12,0%,7.08
크로아티아,0,12,0%,7.17
미얀마(버마),0,12,0%,9.58
코스타리카,0,12,0%,16.92
리투아니아,0,11,0%,7.45
이란,0,11,0%,9
오만,0,11,0%,12.18
우즈베키스탄,0,11,0%,17.09
파라과이,0,11,0%,24.36
파나마,0,10,0%,16.8
괌,0,8,0%,8.38
스리랑카,0,8,0%,8.62
에스토니아,0,8,0%,9.38
마카오,0,8,0%,9.38
쿠웨이트,0,8,0%,11.5
온두라스,0,8,0%,18.88
몰타,0,8,0%,23.62
트리니다드 토바고,0,7,0%,7.86
벨로루시,0,7,0%,14.57
아제르바이잔,0,7,0%,17.43
자메이카,0,7,0%,19.57
그루지아,0,6,0%,10
룩셈부르크,0,6,0%,18.83
코트디부아르,0,6,0%,20.5
이디오피아,0,6,0%,29.67
슬로바키아,0,5,0%,5.6
알 수 없는 지역,0,5,0%,6.8
라오스,0,5,0%,8.2
니카라과,0,5,0%,12
아이슬란드,0,5,0%,14.2
모리셔스,0,4,0%,7
바하마,0,4,0%,8.5
엘살바도르,0,4,0%,12
팔레스타인,0,4,0%,19.5
라트비아,0,3,0%,5
키르기스,0,3,0%,5.67
몰디브,0,3,0%,5.67
바레인,0,3,0%,6.67
시리아,0,3,0%,9
팔라우,0,3,0%,11.33
가봉,0,3,0%,19.33
앙골라,0,3,0%,19.67
푸에르토리코,0,3,0%,22
레바논,0,3,0%,30.67
세네갈,0,3,0%,34.33
북마리아나 군도,0,2,0%,4.5
세인트키츠 네비스,0,2,0%,6
우간다,0,2,0%,6.5
잠비아,0,2,0%,6.5
카메룬,0,2,0%,7
마다카스카르,0,2,0%,7
퀴라소,0,2,0%,7.5
가나,0,2,0%,8.5
리비아,0,2,0%,11
벨리즈,0,2,0%,12
콩고-킨샤사,0,2,0%,12.5
사이프러스,0,2,0%,15
과테말라,0,2,0%,19
아르메니아,0,2,0%,20
토고,0,2,0%,21.5
기야나,0,2,0%,27
콩고-브라자빌,0,2,0%,29
피지,0,2,0%,32.5
알바니아,0,1,0%,1
슬로베니아,0,1,0%,1
레위니옹,0,1,0%,2
세인트 루시아,0,1,0%,3
남수단,0,1,0%,3
동티모르,0,1,0%,3
몬테네그로,0,1,0%,5
올란드 제도,0,1,0%,6
프랑스령 폴리네시아,0,1,0%,6
수리남,0,1,0%,6
마케도니아,0,1,0%,7
라이베리아,0,1,0%,8
말리,0,1,0%,8
부르키나 파소,0,1,0%,9
지브랄타,0,1,0%,9
투발루,0,1,0%,9
안도라,0,1,0%,10
케이만 군도,0,1,0%,10
파로에 군도,0,1,0%,11
보스니아 헤르체고비나,0,1,0%,26
